epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10108.4,1.36926,1.00137,0.00516,0.81723,0.7068,0.80643,0.53948,1.23398,0.89945,0.00628,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,10427.7,1.36342,0.99283,0.00513,0.82012,0.70699,0.80784,0.53994,1.23472,0.89637,0.00627,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10753.4,1.3617,0.9926,0.00509,0.82066,0.70898,0.80896,0.54156,1.23534,0.88856,0.00625,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,11064.9,1.35997,0.98732,0.00505,0.82199,0.71022,0.8098,0.54325,1.22962,0.88679,0.00622,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11368.4,1.35713,0.98429,0.00504,0.82094,0.71142,0.80979,0.54378,1.2282,0.8868,0.00621,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11672,1.34709,0.97415,0.00501,0.82029,0.7117,0.81023,0.54425,1.22591,0.88477,0.00618,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11975.5,1.34464,0.97299,0.00499,0.81882,0.71407,0.81126,0.54464,1.22811,0.88066,0.00619,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,12282.7,1.34639,0.97024,0.00495,0.82109,0.71312,0.81272,0.54556,1.22481,0.88026,0.00617,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,12592.9,1.33316,0.96198,0.00492,0.82394,0.71261,0.81317,0.54678,1.22139,0.88059,0.00615,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,12886.8,1.28515,0.91219,0.00534,0.82184,0.71229,0.81111,0.5453,1.22781,0.88102,0.00619,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,13179.6,1.27695,0.90109,0.00531,0.82261,0.71084,0.81112,0.54581,1.2263,0.88002,0.00618,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,13471,1.27134,0.89195,0.00527,0.82263,0.71154,0.81109,0.54578,1.2265,0.87934,0.00617,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,13758.8,1.26491,0.88726,0.00522,0.82407,0.71276,0.81214,0.54658,1.22525,0.8777,0.00615,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,14089,1.25885,0.88064,0.00518,0.82184,0.71409,0.81175,0.54684,1.22329,0.87892,0.00615,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,14628.7,1.25889,0.87746,0.00511,0.82379,0.71197,0.81185,0.5471,1.22241,0.87659,0.00613,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,14927.8,1.25168,0.87419,0.00508,0.82366,0.71239,0.81204,0.54724,1.22276,0.87746,0.00613,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,15216.4,1.24742,0.86927,0.00506,0.82342,0.71241,0.81246,0.54719,1.22401,0.87646,0.00614,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,15505.2,1.24037,0.86287,0.00506,0.82325,0.71295,0.81254,0.54724,1.22232,0.87608,0.00614,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,15797.4,1.2405,0.86127,0.00499,0.8234,0.71351,0.81262,0.54752,1.22173,0.87569,0.00613,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
