dataset_name,model_name,model,data,imgsz,batch,split,box_map50,box_map,box_map75,box_mp,box_mr,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness,speed_preprocess,speed_inference,speed_loss,speed_postprocess,save_dir
crowdhuman,yolo26s_crowdhuman_960,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection/yolo26s_crowdhuman_960/weights/best.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/crowdhuman/data.yaml,960,16,val,0.8465891463780568,0.5984914666808536,0.6588699466931442,0.8397800539927261,0.7520532384370257,0.8397800539927261,0.7520532384370257,0.8465891463780568,0.5984914666808536,0.5984914666808536,1.4421695666052017,4.616182392185503,0.0007035098442471069,0.15371539287676167,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_crowdhuman_960_all__on_crowdhuman
widerperson,yolo26s_crowdhuman_960,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection/yolo26s_crowdhuman_960/weights/best.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/widerperson/data.yaml,960,16,val,0.6837620747220869,0.279146914981728,0.16375966292370234,0.7730971440878396,0.6245750009139766,0.7730971440878396,0.6245750009139766,0.6837620747220869,0.279146914981728,0.279146914981728,1.4158132598386146,4.32543085195357,0.0006450238870456815,0.14949308172799647,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_crowdhuman_960_all__on_widerperson
coco2017,yolo26s_crowdhuman_960,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection/yolo26s_crowdhuman_960/weights/best.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/coco2017/data.yaml,960,16,val,0.6972395705247497,0.4729488900528592,0.5245912431238972,0.6471032868869864,0.6806161269369955,0.6471032868869864,0.6806161269369955,0.6972395705247497,0.4729488900528592,0.4729488900528592,1.4175260886501533,4.766828233201156,0.0005822055608260999,0.14278395082407333,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_crowdhuman_960_all__on_coco2017
ochuman,yolo26s_crowdhuman_960,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection/yolo26s_crowdhuman_960/weights/best.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/ochuman/data.yaml,960,16,val,0.7814614914052675,0.5381807236060362,0.5892962793475233,0.7431577703335378,0.7629642523495335,0.7431577703335378,0.7629642523495335,0.7814614914052675,0.5381807236060362,0.5381807236060362,1.360204217486678,4.592275564576128,0.000542488172675384,0.12328589420869165,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_crowdhuman_960_all__on_ochuman
