dataset_name,model_name,model,data,imgsz,batch,split,box_map50,box_map,box_map75,box_mp,box_mr,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness,speed_preprocess,speed_inference,speed_loss,speed_postprocess,save_dir
crowdhuman,yolo26s,/d/hpc/projects/FRI/zm3587/dl/yolo26s.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/crowdhuman/data.yaml,960,16,val,0.707956504160131,0.45650620614523624,0.4928872620921391,0.7556568320690605,0.6156794403040904,0.7556568320690605,0.6156794403040904,0.707956504160131,0.45650620614523624,0.45650620614523624,1.393633311826446,4.892038540446862,0.000695952784922187,0.16527682933338345,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_default_960_all__on_crowdhuman
widerperson,yolo26s,/d/hpc/projects/FRI/zm3587/dl/yolo26s.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/widerperson/data.yaml,960,16,val,0.6260367469283337,0.24128282271635185,0.1218958302211321,0.7387453642074194,0.5594267539209593,0.7387453642074194,0.5594267539209593,0.6260367469283337,0.24128282271635185,0.24128282271635185,1.461839750991203,4.433241506223567,0.0006950873066671193,0.15590393193997443,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_default_960_all__on_widerperson
coco2017,yolo26s,/d/hpc/projects/FRI/zm3587/dl/yolo26s.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/coco2017/data.yaml,960,16,val,0.8375688995202404,0.5977043172301056,0.6623761915971872,0.8281398954156622,0.7337351674876178,0.8281398954156622,0.7337351674876178,0.8375688995202404,0.5977043172301056,0.5977043172301056,1.4559162398369696,4.886930677830562,0.0005982370054258696,0.13946724389505086,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_default_960_all__on_coco2017
ochuman,yolo26s,/d/hpc/projects/FRI/zm3587/dl/yolo26s.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/ochuman/data.yaml,960,16,val,0.6932918342535223,0.37089920640470253,0.36373346534226625,0.7109987260481956,0.6856480168950988,0.7109987260481956,0.6856480168950988,0.6932918342535223,0.37089920640470253,0.37089920640470253,1.5988539841373801,4.689803316048336,0.0006536603435633536,0.1499796847586158,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_default_960_all__on_ochuman
