dataset_name,model_name,model,data,imgsz,batch,split,box_map50,box_map,box_map75,box_mp,box_mr,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness,speed_preprocess,speed_inference,speed_loss,speed_postprocess,save_dir
crowdhuman,yolo26s,/d/hpc/projects/FRI/zm3587/dl/yolo26s.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/crowdhuman/data.yaml,640,16,val,0.635933416389132,0.4014851741159429,0.425588966698389,0.7432597208938617,0.544674377868827,0.7432597208938617,0.544674377868827,0.635933416389132,0.4014851741159429,0.4014851741159429,0.27343402707254516,1.0268282671128688,0.00026207212124284125,0.06903190090101494,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_default_640_all__on_crowdhuman
widerperson,yolo26s,/d/hpc/projects/FRI/zm3587/dl/yolo26s.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/widerperson/data.yaml,640,16,val,0.5907810440862098,0.23142873326721233,0.11942464517071877,0.7349131562375488,0.5202354403538917,0.7349131562375488,0.5202354403538917,0.5907810440862098,0.23142873326721233,0.23142873326721233,0.2989673730917275,1.2296553301275708,0.0006938938167877495,0.1343015781021677,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_default_640_all__on_widerperson
coco2017,yolo26s,/d/hpc/projects/FRI/zm3587/dl/yolo26s.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/coco2017/data.yaml,640,16,val,0.8207721775285872,0.5960667924612186,0.6484749471396691,0.8313792425142763,0.7145773406328292,0.8313792425142763,0.7145773406328292,0.8207721775285872,0.5960667924612186,0.5960667924612186,0.33485567280375966,0.8751051946129198,0.000487029377988035,0.06376393355506639,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_default_640_all__on_coco2017
ochuman,yolo26s,/d/hpc/projects/FRI/zm3587/dl/yolo26s.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/ochuman/data.yaml,640,16,val,0.7945555347768766,0.5007667319889498,0.5118361806946174,0.7917226985418524,0.7482517482517482,0.7917226985418524,0.7482517482517482,0.7945555347768766,0.5007667319889498,0.5007667319889498,0.2877563098299429,0.8377663078703277,0.00027577279107198486,0.06391367630207355,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26s_default_640_all__on_ochuman
