epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,380.057,1.67123,1.84901,0.00695,0.69532,0.53875,0.62137,0.36714,1.52135,1.31892,0.00821,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,667.414,1.6701,1.37878,0.00691,0.72419,0.56867,0.6572,0.3857,1.54205,1.23271,0.00847,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118
3,919.622,1.71747,1.32496,0.00717,0.72025,0.57086,0.65545,0.37266,1.62472,1.20504,0.00905,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059
4,1172.5,1.73827,1.31278,0.00734,0.73162,0.56946,0.65815,0.3797,1.59699,1.22995,0.00897,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1422.88,1.71805,1.2736,0.00728,0.74642,0.58878,0.68268,0.39598,1.5989,1.14316,0.00891,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1697.08,1.70581,1.25599,0.00712,0.74318,0.59442,0.68418,0.40134,1.56916,1.14963,0.00874,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1977.76,1.70116,1.24011,0.00703,0.74987,0.59819,0.69154,0.40639,1.56117,1.14743,0.00854,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2250.57,1.68339,1.22334,0.007,0.75451,0.5937,0.68859,0.4044,1.5638,1.12858,0.00862,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2513.66,1.67723,1.20944,0.00691,0.76322,0.60432,0.70033,0.41681,1.53422,1.10538,0.00855,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2812.84,1.66469,1.19891,0.00689,0.76376,0.605,0.70237,0.41458,1.53844,1.11872,0.00837,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3082.91,1.65613,1.19096,0.00682,0.76114,0.61848,0.71226,0.42566,1.51399,1.09362,0.00821,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3370.8,1.64992,1.17636,0.00674,0.77261,0.61118,0.70989,0.42591,1.52112,1.08429,0.00813,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3650.53,1.65056,1.17055,0.0067,0.76853,0.62109,0.71673,0.43229,1.50838,1.06544,0.00815,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3920.62,1.6422,1.16257,0.00666,0.77238,0.62676,0.72195,0.43692,1.49861,1.05905,0.00803,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4197.86,1.6409,1.15729,0.00662,0.77576,0.61828,0.71885,0.4367,1.4964,1.06718,0.00799,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4472.24,1.63217,1.1527,0.00657,0.77527,0.62861,0.72595,0.44112,1.49156,1.05609,0.00793,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4746.76,1.62276,1.13791,0.00655,0.78087,0.63112,0.72692,0.44204,1.47606,1.06174,0.00782,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5030.85,1.60676,1.13648,0.00658,0.78344,0.63242,0.72987,0.44552,1.47862,1.03412,0.00775,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
