epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3089.62,1.49794,1.72401,0.00761,0.75576,0.61043,0.70588,0.43423,1.37664,1.1736,0.01198,0.00999826,0.00333275,0.00999826,0.00333275,0.00999826,0.00333275,0.00999826,0.00333275
2,5021.35,1.53141,1.34507,0.00799,0.76897,0.62274,0.72148,0.4445,1.37185,1.14132,0.01181,0.0196023,0.0065341,0.0196023,0.0065341,0.0196023,0.0065341,0.0196023,0.0065341
3,6697.29,1.58711,1.38783,0.00847,0.76481,0.6229,0.72077,0.44538,1.38099,1.13541,0.01203,0.0288103,0.00960344,0.0288103,0.00960344,0.0288103,0.00960344,0.0288103,0.00960344
4,8330.45,1.59816,1.39668,0.00856,0.77644,0.63082,0.73245,0.45925,1.35038,1.10112,0.01149,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,9934.39,1.56562,1.34494,0.00824,0.78028,0.64002,0.74262,0.47143,1.32144,1.07033,0.01098,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,11591.5,1.54245,1.31067,0.008,0.7852,0.65007,0.75175,0.4794,1.30862,1.04619,0.01081,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,13218.9,1.53055,1.28948,0.00789,0.78843,0.65128,0.75599,0.48571,1.29688,1.02677,0.01064,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,14891.5,1.51585,1.27268,0.00783,0.78978,0.65514,0.75858,0.48974,1.28549,1.01754,0.01045,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,16481.8,1.50906,1.26314,0.00773,0.79239,0.65608,0.76068,0.49225,1.27988,1.01157,0.01036,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,18142.7,1.5033,1.24992,0.00764,0.79472,0.65471,0.76154,0.49384,1.27492,1.00906,0.01028,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,19752.3,1.49307,1.23757,0.00763,0.79286,0.65729,0.76237,0.49534,1.27149,1.00597,0.01024,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,21427.9,1.48945,1.23062,0.00757,0.79494,0.6575,0.76303,0.49617,1.26899,1.00354,0.01021,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,23165.2,1.4857,1.22869,0.00753,0.79497,0.65865,0.7638,0.49738,1.26608,1.00186,0.01018,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,24813.8,1.48017,1.22,0.00749,0.79529,0.65897,0.7644,0.49841,1.26365,0.99876,0.01014,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,26424.1,1.48044,1.21906,0.00744,0.79633,0.65921,0.76504,0.49954,1.2616,0.99633,0.01014,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,28081.3,1.47193,1.21172,0.00744,0.79462,0.66066,0.76541,0.5003,1.25952,0.99515,0.0101,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,29678.6,1.47221,1.20442,0.0074,0.795,0.66194,0.76645,0.50149,1.25665,0.99309,0.01005,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,31338.4,1.46468,1.20024,0.00736,0.79628,0.66257,0.76834,0.50278,1.25382,0.99053,0.01001,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
