epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,27215.7,1.55577,1.18479,0.00768,0.78321,0.6219,0.72837,0.46501,1.34153,1.00985,0.00998,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,27957.5,1.54991,1.17922,0.00766,0.78468,0.62268,0.72937,0.46572,1.3405,1.00709,0.00997,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,28695.9,1.54731,1.17673,0.00761,0.78354,0.62372,0.72945,0.46634,1.33895,1.00535,0.00993,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,29567.5,1.53987,1.17169,0.0076,0.78432,0.62423,0.73031,0.46709,1.3374,1.00375,0.0099,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,30297.1,1.53373,1.16356,0.00754,0.784,0.62459,0.73036,0.4676,1.33553,1.00282,0.00987,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,31027.5,1.53389,1.15708,0.00749,0.78661,0.62424,0.73108,0.46818,1.33455,1.00087,0.00986,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,31757.5,1.52938,1.15696,0.00746,0.78896,0.62454,0.73216,0.46901,1.33401,0.99869,0.00985,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,32668.2,1.52681,1.15059,0.00742,0.78834,0.62638,0.73294,0.46959,1.33239,0.99693,0.00982,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,33388.1,1.51761,1.14147,0.00739,0.78875,0.62732,0.73364,0.47048,1.33106,0.99463,0.0098,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,34113.7,1.46854,1.07593,0.00805,0.78938,0.62751,0.73379,0.47105,1.32927,0.99467,0.00977,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,34807.2,1.45836,1.06083,0.00797,0.79132,0.62632,0.73392,0.47146,1.32764,0.99374,0.00974,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,35696.6,1.44969,1.05203,0.00788,0.7905,0.6275,0.7343,0.47207,1.32673,0.99276,0.00973,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,36547.2,1.43897,1.04368,0.00774,0.79071,0.62738,0.73442,0.47233,1.32607,0.9915,0.00972,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,37262.8,1.43552,1.03258,0.00768,0.79109,0.62788,0.73509,0.47295,1.32491,0.98971,0.0097,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,37983.5,1.42451,1.02447,0.0076,0.79296,0.62719,0.73558,0.47353,1.32405,0.98805,0.00967,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,38708.4,1.41968,1.01353,0.00753,0.79466,0.62713,0.7363,0.47408,1.32312,0.98551,0.00965,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,39553.2,1.41279,1.00548,0.00744,0.79401,0.6281,0.73668,0.47447,1.32226,0.9838,0.00962,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,40273.6,1.40211,0.99778,0.00735,0.79587,0.62811,0.73735,0.47507,1.32202,0.9809,0.00961,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,41002.7,1.39922,0.98924,0.00731,0.79657,0.6284,0.73812,0.47561,1.32165,0.97797,0.0096,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
