dataset_name,model_name,model,data,imgsz,batch,split,box_map50,box_map,box_map75,box_mp,box_mr,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness,speed_preprocess,speed_inference,speed_loss,speed_postprocess,save_dir
crowdhuman,yolo26n_crowdhuman_960,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection/yolo26n_crowdhuman_960/weights/best.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/crowdhuman/data.yaml,960,16,val,0.8127402155502289,0.5477166218838738,0.5939483653494859,0.8235990262470023,0.7136390252518161,0.8235990262470023,0.7136390252518161,0.8127402155502289,0.5477166218838738,0.5477166218838738,1.4377763402409578,2.7514920183148415,0.000718937871351122,0.15332363176935307,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26n_crowdhuman_960_all__on_crowdhuman
widerperson,yolo26n_crowdhuman_960,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection/yolo26n_crowdhuman_960/weights/best.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/widerperson/data.yaml,960,16,val,0.6728523454898518,0.2789492122167322,0.17077632277287644,0.7624057292921915,0.6096954630205096,0.7624057292921915,0.6096954630205096,0.6728523454898518,0.2789492122167322,0.2789492122167322,1.5023860649671406,2.971961323870346,0.0006640501087531447,0.151904696773272,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26n_crowdhuman_960_all__on_widerperson
coco2017,yolo26n_crowdhuman_960,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection/yolo26n_crowdhuman_960/weights/best.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/coco2017/data.yaml,960,16,val,0.670657195223522,0.44282924195266765,0.4851117948764887,0.6560639495089219,0.643036095388327,0.6560639495089219,0.643036095388327,0.670657195223522,0.44282924195266765,0.44282924195266765,1.5098645402491369,2.0122667802656826,0.0006190986916176613,0.1393385182041087,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26n_crowdhuman_960_all__on_coco2017
ochuman,yolo26n_crowdhuman_960,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection/yolo26n_crowdhuman_960/weights/best.pt,/d/hpc/projects/FRI/zm3587/dl/datasets/ochuman/data.yaml,960,16,val,0.7678037200393856,0.5079349301474264,0.5512991724314396,0.7555861702894039,0.7360778556654588,0.7555861702894039,0.7360778556654588,0.7678037200393856,0.5079349301474264,0.5079349301474264,1.534347546089429,2.054940934507122,0.0005816630503569334,0.13690174649941686,/d/hpc/projects/FRI/zm3587/dl/runs/person_detection_eval/eval_yolo26n_crowdhuman_960_all__on_ochuman
